"people_id","people_name","people_birthday","people_deathday","people_gender"
28676,"Françoise Bertin",1925-09-23,2014-10-26,1
28677,"Danièle Lebrun",1937-07-24,NA,1
72413,"Tsutomu Tatsumi",1972-01-01,NA,2
72414,"Ayano Shiraishi",1982-01-01,NA,1
72415,"Yoshiko Shinohara",1948-09-10,NA,1
72416,"Akemi Yamaguchi",1946-11-23,NA,1
628,"Isao Takahata",1935-10-29,2018-04-05,2
234352,"Margot Robbie",1990-07-02,NA,1
60898,"Sebastian Stan",1982-08-13,NA,2
19,"Allison Janney",1959-11-19,NA,1
86034,"Julianne Nicholson",1971-07-01,NA,1
1294982,"Paul Walter Hauser",1986-10-15,NA,2
47283,"Steven Rogers",NA,NA,2
50767,"Craig Gillespie",1967-09-01,NA,2
74568,"Chris Hemsworth",1983-08-11,NA,2
103,"Mark Ruffalo",1967-11-22,NA,2
91606,"Tom Hiddleston",1981-02-09,NA,2
112,"Cate Blanchett",1969-05-14,NA,1
87173,"Craig Kyle",1971-11-03,NA,2
109542,"Christopher Yost",1973-02-21,NA,2
55934,"Taika Waititi",1975-08-16,NA,2
579281,"Eric Pearson",NA,NA,2
39658,"Sally Hawkins",1976-04-27,NA,1
17005,"Doug Jones",1960-05-24,NA,2
335,"Michael Shannon",1974-08-07,NA,2
28633,"Richard Jenkins",1947-05-04,NA,2
6944,"Octavia Spencer",1972-05-25,NA,1
176489,"Vanessa Taylor",1970-09-24,NA,1
10828,"Guillermo del Toro",1964-10-09,NA,2
5442,"Benoît Magimel",1974-05-11,NA,2
149223,"Laura Smet",1983-11-15,NA,1
1507097,"Gringe",NA,NA,0
1535315,"Idir Chender",NA,NA,0
82304,"Michaël Youn",1973-12-02,NA,2
52342,"Olivier Marchal",1958-11-14,NA,2
1041712,"Emmanuel Naccache",NA,NA,0
1892,"Matt Damon",1970-10-08,NA,2
1241,"John Turturro",1957-02-28,NA,2
15370,"Gretchen Mol",1972-11-08,NA,1
5725,"Goran Visnjic",1972-09-09,NA,2
819,"Edward Norton",1969-08-18,NA,2
21053,"John Dahl",1956-01-01,NA,2
16305,"David Levien",NA,NA,2
16304,"Brian Koppelman",1966-04-27,NA,2
87663,"Sverrir Gudnason",1978-09-12,NA,2
10959,"Shia LaBeouf",1986-06-11,NA,2
1640,"Stellan Skarsgård",1951-06-13,NA,2
1893608,"Leo Borg",NA,NA,2
1369026,"Ronnie Sandahl",NA,NA,0
118606,"Janus Metz Pedersen",1974-09-27,NA,2
3131,"Antonio Banderas",1960-08-10,NA,2
3623,"Elena Anaya",1975-07-17,NA,1
954,"Marisa Paredes",1946-04-03,NA,1
440879,"Jan Cornet",NA,NA,2
225017,"Roberto Álamo",1970-01-01,NA,2
309,"Pedro Almodóvar",1949-09-24,NA,2
2,"Mark Hamill",1951-09-25,NA,2
4,"Carrie Fisher",1956-10-21,2016-12-27,1
1023139,"Adam Driver",1983-11-19,NA,2
1315036,"Daisy Ridley",1992-04-10,NA,1
236695,"John Boyega",1992-03-17,NA,2
67367,"Rian Johnson",1973-12-17,NA,2
76821,"Jamal Woolard",1975-07-08,NA,2
15543,"Derek Luke",1974-04-24,NA,2
101519,"Naturi Naughton",1984-05-20,NA,1
53650,"Anthony Mackie",1979-09-23,NA,2
171941,"Antonique Smith",NA,NA,1
66121,"George Tillman, Jr.",1969-01-26,NA,2
71943,"Reggie Rock Bythewood",1965-07-07,NA,2
82153,"Cheo Hodari Coker",1972-12-12,NA,2
13688,"Karin Viard",1966-01-24,NA,1
51508,"JoeyStarr",1967-10-27,NA,2
76820,"Marina Foïs",1970-01-21,NA,1
81054,"Nicolas Duvauchelle",1980-03-27,NA,2
64210,"Maïwenn",1976-04-17,NA,1
25340,"Emmanuelle Bercot",1967-11-06,NA,1
28281,"Jean-Pierre Bacri",1951-05-24,NA,2
54291,"Gilles Lellouche",1972-07-05,NA,2
16922,"Jean-Paul Rouve",1967-01-26,NA,2
992623,"Vincent Macaigne",1978-10-19,NA,2
544681,"Alban Ivanov",1984-01-01,NA,2
84425,"Eric Toledano",1967-07-03,NA,2
84426,"Olivier Nakache",1973-04-15,NA,2
16851,"Josh Brolin",1968-02-12,NA,2
996701,"Miles Teller",1987-02-20,NA,2
1229,"Jeff Bridges",1949-12-04,NA,2
6161,"Jennifer Connelly",1970-12-12,NA,1
18473,"James Badge Dale",1978-05-01,NA,2
86270,"Joseph Kosinski",1974-05-03,NA,2
12783,"Ken Nolan",NA,NA,2
1279644,"Eric Warren Singer",NA,NA,0
1277188,"Jacob Tremblay",2006-10-05,NA,2
887,"Owen Wilson",1968-11-18,NA,2
1204,"Julia Roberts",1967-10-28,NA,1
1457461,"Danielle Rose Russell",1999-10-31,NA,1
1652371,"Daveed Diggs",1982-01-24,NA,2
19311,"Stephen Chbosky",1970-01-25,NA,2
20647,"Steve Conrad",NA,NA,2
207132,"Jack Thorne",NA,NA,2
1702761,"Robert Gulaczyk",1983-01-01,NA,2
230680,"Douglas Booth",1992-07-09,NA,2
195930,"Jerome Flynn",1963-03-16,NA,2
36592,"Saoirse Ronan",1994-04-12,NA,1
15737,"Helen McCrory",1968-08-17,NA,1
1003237,"Dorota Kobiela",1978-01-01,NA,1
1466181,"Hugh Welchman",1975-01-01,NA,2
1466182,"Jacek won Dehnel",1980-05-01,NA,2
6952,"Charlie Sheen",1965-09-03,NA,2
3392,"Michael Douglas",1944-09-25,NA,2
8349,"Martin Sheen",1940-08-03,NA,2
589,"Daryl Hannah",1960-12-03,NA,1
11885,"John C. McGinley",1959-08-03,NA,2
1152,"Oliver Stone",1946-09-15,NA,2
66189,"Stanley Weiser",NA,NA,2
54693,"Emma Stone",1988-11-06,NA,1
4495,"Steve Carell",1962-08-16,NA,2
127558,"Andrea Riseborough",1981-11-20,NA,1
7404,"Sarah Silverman",1970-12-01,NA,1
57631,"Simon Beaufoy",NA,NA,2
16959,"Jonathan Dayton",1957-07-07,NA,2
16960,"Valerie Faris",1958-10-20,NA,1
144791,"Fiona Gordon",1957-01-01,NA,1
42741,"Dominique Abel",1957-01-01,NA,2
267962,"Emmanuelle Riva",1927-02-24,2017-01-27,1
24501,"Pierre Richard",1934-08-16,NA,2
1773489,"Emmy Boissard Paumelle",NA,NA,0
66957,"Nahuel Pérez Biscayart",1986-03-06,NA,2
1795151,"Arnaud Valois",1984-02-29,NA,2
68816,"Adèle Haenel",1989-01-01,NA,1
1795152,"Antoine Reinartz",NA,NA,2
1871353,"Félix Maritaud",NA,NA,2
17387,"Robin Campillo",1962-08-16,NA,2
517,"Pierce Brosnan",1953-05-16,NA,2
18897,"Jackie Chan",1954-04-07,NA,2
107734,"Orla Brady",1961-03-28,NA,1
1267122,"Rory Fleck-Byrne",NA,NA,0
1356630,"Charlie Murphy",1988-04-19,NA,1
1567784,"Stephen Leather",NA,NA,0
10702,"Martin Campbell",1943-10-24,NA,2
4946,"Peter Buchman",1967-07-13,NA,2
21002,"David Marconi",NA,NA,2
30614,"Ryan Gosling",1980-11-12,NA,2
3,"Harrison Ford",1942-07-13,NA,2
224513,"Ana de Armas",1988-04-30,NA,1
32,"Robin Wright",1966-04-08,NA,1
104632,"Sylvia Hoeks",1983-06-01,NA,1
583,"Hampton Fancher",1938-07-18,NA,2
191937,"Michael Green",NA,NA,2
51329,"Bradley Cooper",1975-01-05,NA,2
27105,"Ed Helms",1974-01-24,NA,2
58225,"Zach Galifianakis",1969-10-01,NA,2
21180,"Justin Bartha",1978-07-21,NA,2
69122,"Heather Graham",1970-01-29,NA,1
52114,"Jon Lucas",NA,NA,2
52115,"Scott Moore",NA,NA,2
57130,"Todd Phillips",1970-12-20,NA,2
1314700,"Pablo Pauly",1991-01-24,NA,2
1372661,"Soufiane Guerrab",NA,NA,0
1457707,"Moussa Mansaly",NA,NA,0
1319210,"Nailia Harzoune",NA,NA,0
1133065,"Franck Falise",NA,NA,0
1562429,"Mehdi Idir",NA,NA,0
1186858,"Grand Corps Malade",NA,NA,0
1982416,"Fadette Drouard",NA,NA,0
17142,"Paul Dano",1984-06-19,NA,2
10980,"Daniel Radcliffe",1989-07-23,NA,2
17628,"Mary Elizabeth Winstead",1984-11-28,NA,1
1367516,"Timothy Eulich",NA,NA,0
76624,"Shane Carruth",1972-01-01,NA,2
1383612,"Dan Kwan",NA,NA,0
1317730,"Daniel Scheinert",NA,NA,0
17497,"Romain Duris",1974-05-28,NA,2
72255,"Céline Sallette",1980-04-25,NA,1
59627,"Julie-Marie Parmentier",1981-06-13,NA,1
223532,"Grégory Gadebois",1976-07-24,NA,2
1653041,"Yvon Martin",NA,NA,0
109889,"Emmanuel Courcol",NA,NA,0
132542,"Maurice Barthélemy",1969-05-23,NA,2
77930,"Elise Larnicol",NA,NA,1
35968,"Pierre-François Martin-Laval",1968-06-25,NA,2
4275,"Alain Chabat",1958-11-24,NA,2
1230,"John Goodman",1952-06-20,NA,2
7904,"Billy Crystal",1948-03-14,NA,2
884,"Steve Buscemi",1957-12-13,NA,2
5563,"James Coburn",1928-08-31,2002-11-18,2
7906,"Jennifer Tilly",1958-09-16,NA,1
7,"Andrew Stanton",1965-12-03,NA,2
12890,"Pete Docter",1968-10-09,NA,2
7884,"Daniel Gerson",1966-08-01,2016-01-06,2
55384,"Thibault Verhaeghe",1992-06-11,NA,2
550027,"Joséphine Lebas-Joly",1992-11-26,NA,1
55383,"Emmanuelle Grönvold",NA,NA,1
55379,"Yann Samuell",1965-06-07,NA,2
55385,"Jacky Cukier",NA,NA,0
13240,"Mark Wahlberg",1971-06-05,NA,2
18918,"Dwayne Johnson",1972-05-02,NA,2
4252,"Tony Shalhoub",1953-10-09,NA,2
5551,"Christopher Markus",NA,NA,2
5552,"Stephen McFeely",NA,NA,2
865,"Michael Bay",1965-02-17,NA,2
521,"Michael J. Fox",1961-06-09,NA,2
1062,"Christopher Lloyd",1938-10-22,NA,2
1063,"Lea Thompson",1961-05-31,NA,1
1064,"Crispin Glover",1964-04-20,NA,2
1065,"Thomas F. Wilson",1959-04-15,NA,2
24,"Robert Zemeckis",1951-05-14,NA,2
1058,"Bob Gale",1951-05-25,NA,2
3061,"Ewan McGregor",1971-03-31,NA,2
3926,"Albert Finney",1936-05-09,2019-02-08,2
8289,"Billy Crudup",1968-07-08,NA,2
4431,"Jessica Lange",1949-04-20,NA,1
1283,"Helena Bonham Carter",1966-05-26,NA,1
510,"Tim Burton",1958-08-25,NA,2
1300,"John August",1970-04-04,NA,2
6193,"Leonardo DiCaprio",1974-11-11,NA,2
514,"Jack Nicholson",1937-04-22,NA,2
1032,"Martin Scorsese",1942-11-17,NA,2
34510,"William Monahan",1960-11-03,NA,2
66718,"Alan Mak",1965-01-01,NA,0
66719,"Felix Chong",1968-01-01,NA,0
213581,"Oliver Masucci",1968-01-01,NA,2
17543,"Fabian Busch",1975-10-01,NA,2
1874,"Katja Riemann",1963-11-01,NA,1
5649,"Christoph Maria Herbst",1966-02-09,NA,2
139525,"Franziska Wulf",1984-01-01,NA,0
928146,"David Wnendt",1977-01-01,NA,2
1488822,"Mizzi Meyer",1965-01-01,NA,1
325,"Eminem",1972-10-17,NA,2
327,"Mekhi Phifer",1974-12-29,NA,2
328,"Brittany Murphy",1977-11-10,2009-12-20,1
326,"Kim Basinger",1953-12-08,NA,1
323,"Curtis Hanson",1945-03-24,2016-09-20,2
324,"Scott Silver",NA,NA,2
225730,"Ryunosuke Kamiki",1993-05-19,NA,2
1369100,"Mone Kamishiraishi",1998-01-27,NA,1
87637,"Masami Nagasawa",1987-06-03,NA,1
91288,"Etsuko Ichihara",1936-01-24,2019-01-12,1
1668610,"Ryou Narita",1993-11-22,NA,2
74091,"Makoto Shinkai",1973-02-09,NA,2
550843,"Elizabeth Olsen",1989-02-16,NA,1
84225,"Gil Birmingham",1953-07-13,NA,2
205976,"Kelsey Asbille",1991-09-09,NA,1
19498,"Jon Bernthal",1977-09-20,NA,2
1215399,"Taylor Sheridan",1970-05-21,NA,2
75913,"Ha Jung-woo",1979-03-11,NA,2
21688,"Bae Doo-na",1979-10-11,NA,1
77188,"Oh Dal-su",1968-06-15,NA,2
578838,"Shin Jung-geun",1966-09-26,NA,0
939137,"Nam Ji-hyeon",1995-09-17,NA,1
1135240,"Kim Seong-hun",1971-02-20,NA,2
1333,"Andy Serkis",1964-04-20,NA,2
57755,"Woody Harrelson",1961-07-23,NA,2
18324,"Steve Zahn",1967-11-13,NA,2
58395,"Karin Konoval",NA,NA,1
236696,"Terry Notary",1968-08-14,NA,2
32278,"Matt Reeves",1966-04-27,NA,2
18189,"Mark Bomback",1971-08-29,NA,2
141876,"Roland Møller",NA,NA,2
1013156,"Mikkel Boe Følsgaard",1984-05-01,NA,2
34867,"Laura Bro",NA,NA,0
1037348,"Louis Hofmann",1997-06-03,NA,2
223477,"Joel Basman",1990-01-23,NA,2
114540,"Martin Zandvliet",1971-01-07,NA,0
1121169,"Izïa Higelin",1990-09-24,NA,1
17522,"Cécile de France",1975-07-17,NA,1
49168,"Noémie Lvovsky",1964-12-14,NA,1
1164460,"Laetitia Dosch",1980-09-01,NA,1
1132641,"Kevin Azais",NA,NA,0
73654,"Catherine Corsini",1956-05-18,NA,1
1438572,"Laurette Polmanss",NA,NA,0
94185,"Shailene Woodley",1991-11-15,NA,1
587020,"Theo James",1984-12-16,NA,2
204,"Kate Winslet",1975-10-05,NA,1
56614,"Ray Stevenson",1964-05-24,NA,2
17329,"Neil Burger",NA,NA,2
228135,"Evan Daugherty",NA,NA,2
1159982,"Ansel Elgort",1994-03-14,NA,2
1016168,"Lily James",1989-04-05,NA,1
65717,"Jon Hamm",1971-03-10,NA,2
134,"Jamie Foxx",1967-12-13,NA,2
11090,"Edgar Wright",1974-04-18,NA,2
47820,"Benoît Poelvoorde",1964-09-22,NA,2
63174,"Rémy Belvaux",1966-11-10,2006-09-04,2
63175,"André Bonzel",1966-11-10,NA,2
63242,"Jacqueline Poelvoorde-Pappaert",NA,NA,0
358432,"Édith Le Merdy",NA,NA,0
45774,"Vincent Tavier",NA,NA,0
85,"Johnny Depp",1963-06-09,NA,2
1017347,"Brenton Thwaites",1989-08-10,NA,2
3810,"Javier Bardem",1969-03-01,NA,2
118,"Geoffrey Rush",1951-07-06,NA,2
2689,"Jeff Nathanson",NA,NA,2
20307,"Joachim Rønning",1972-05-30,NA,2
20308,"Espen Sandberg",1971-06-17,NA,2
3293,"Rachel Weisz",1970-03-07,NA,1
349,"Scott Glenn",1941-01-26,NA,2
825,"Stacy Keach",1941-06-02,NA,2
19242,"Tony Gilroy",1956-09-11,NA,2
57113,"Dan Gilroy",1959-06-24,NA,2
70131,"Tatsuya Nakadai",1932-12-13,NA,2
70626,"Tsutomu Yamazaki",1936-12-02,NA,2
70133,"Jinpachi Nezu",1947-12-01,2016-12-29,2
7453,"Takashi Shimura",1905-03-12,1982-02-11,2
71027,"Kenichi Hagiwara",1950-07-25,2019-03-26,2
5026,"Akira Kurosawa",1910-03-23,1998-09-06,2
34372,"Masato Ide",NA,NA,0
192,"Morgan Freeman",1937-06-01,NA,2
2224,"Christian Slater",1969-08-18,NA,2
1161,"Mary Elizabeth Mastrantonio",1958-11-17,NA,1
4566,"Alan Rickman",1946-02-21,2016-01-14,2
8300,"Kevin Reynolds",1952-01-17,NA,2
2185,"John Watson",NA,NA,2
2182,"Pen Densham",NA,NA,2
527696,"Benjamin Helstad",NA,NA,2
7742,"Kristoffer Joner",1972-09-19,NA,2
527698,"Trond Nilssen",1990-08-22,NA,2
570310,"Morten Løvstad",NA,NA,0
7740,"Marius Holst",NA,NA,2
570309,"Dennis Magnusson",NA,NA,0
109005,"Eric Schmid",NA,NA,2
4038,"Susan Sarandon",1946-10-04,NA,1
16935,"Geena Davis",1956-01-21,NA,1
1037,"Harvey Keitel",1939-05-13,NA,2
147,"Michael Madsen",1957-09-25,NA,2
4443,"Christopher McDonald",1955-02-15,NA,2
578,"Ridley Scott",1937-11-30,NA,2
17397,"Callie Khouri",1957-11-27,NA,1
2413,"Dominique Pinon",1955-03-04,NA,2
24040,"Jean-Luc Couchard",1969-07-14,NA,2
51325,"Jérémie Renier",1981-01-06,NA,2
19119,"Mélanie Laurent",1983-02-21,NA,1
56225,"Olivier Van Hoofstadt",NA,NA,0
56227,"Olivier Legrain",NA,NA,0
82700,"Mario Casas",1986-06-12,NA,2
110129,"José Coronado",1957-08-14,NA,2
724188,"Bárbara Lennie",1984-04-20,NA,1
34053,"Ana Wagener",1962-01-01,NA,1
28509,"Francesc Orella",1957-06-11,NA,0
1051305,"Oriol Paulo",1975-01-01,NA,2
90633,"Gal Gadot",1985-04-30,NA,1
62064,"Chris Pine",1980-08-26,NA,2
935,"Connie Nielsen",1965-07-03,NA,1
6413,"Danny Huston",1962-05-14,NA,2
6884,"Patty Jenkins",1971-07-24,NA,1
211962,"Geoff Johns",1973-01-25,NA,2
1213170,"Allan Heinberg",1967-06-29,NA,2
129565,"Drago<U+0219> Bucur",1977-06-13,NA,2
1114841,"Gheorghe Visu",1951-07-02,NA,2
39959,"Vlad Ivanov",1969-06-25,NA,2
1078750,"Costel Cascaval",1970-02-23,NA,2
1169590,"Raluca Aprodu",NA,NA,0
1257841,"Bogdan Mirica",NA,NA,0
10297,"Matthew McConaughey",1969-11-04,NA,2
18997,"Bryce Dallas Howard",1981-03-02,NA,1
25616,"Edgar Ramírez",1977-03-25,NA,2
1181329,"Timothy Simons",1978-06-12,NA,2
57428,"Michael Landes",1972-09-18,NA,2
2945,"Stephen Gaghan",1965-05-06,NA,2
20505,"Patrick Massett",NA,NA,2
20506,"John Zinman",NA,NA,2
122889,"Dane DeHaan",1987-02-06,NA,2
1289968,"Cara Delevingne",1992-08-12,NA,1
2296,"Clive Owen",1964-10-03,NA,2
131519,"Rihanna",1988-02-20,NA,1
569,"Ethan Hawke",1970-11-06,NA,2
59,"Luc Besson",1959-03-18,NA,2
1687041,"Fionn Whitehead",1997-07-18,NA,2
1765227,"Tom Glynn-Carney",1995-02-07,NA,2
145143,"Aneurin Barnard",1987-05-08,NA,2
1334638,"Jack Lowden",1990-06-02,NA,2
1052109,"Harry Styles",1994-02-01,NA,2
525,"Christopher Nolan",1970-07-30,NA,2
56365,"Charlie Hunnam",1980-04-10,NA,2
469759,"Astrid Bergès-Frisbey",1986-05-26,NA,1
9642,"Jude Law",1972-12-29,NA,2
938,"Djimon Hounsou",1964-04-24,NA,2
8783,"Eric Bana",1968-08-09,NA,2
956,"Guy Ritchie",1968-09-10,NA,2
74569,"Joby Harold",NA,NA,0
41289,"Lionel Wigram",1961-01-01,NA,0
1144473,"Garance Marillier",1998-02-11,NA,1
1438688,"Ella Rumpf",1995-02-04,NA,1
69197,"Rabah Nait Oufella",1992-12-03,NA,2
18178,"Laurent Lucas",1965-07-20,NA,2
23392,"Joana Preiss",NA,NA,1
1392433,"Julia Ducournau",1983-11-18,NA,1
146287,"Pio Marmaï",1984-07-13,NA,2
228714,"Ana Girardot",1988-08-01,NA,1
78124,"François Civil",1989-01-29,NA,2
931399,"Jean-Marc Roulot",1955-12-13,NA,2
77122,"María Valverde",1987-03-24,NA,1
17520,"Cédric Klapisch",1961-09-04,NA,2
41968,"Santiago Amigorena",1962-02-15,NA,2
368,"Reese Witherspoon",1976-03-22,NA,1
11288,"Robert Pattinson",1986-05-13,NA,2
27319,"Christoph Waltz",1956-10-04,NA,2
11066,"Hal Holbrook",1925-02-17,NA,2
3901,"Richard Brake",1964-11-30,NA,2
10943,"Francis Lawrence",1970-03-26,NA,2
2163,"Richard LaGravenese",1959-10-30,NA,2
234873,"Sara Gruen",NA,NA,0
1624976,"Dorian Le Clech",NA,NA,0
1624977,"Batyste Fleurial",NA,NA,0
73827,"Patrick Bruel",1959-05-14,NA,2
39195,"Elsa Zylberstein",1968-10-16,NA,1
